p1,2,3,4,5,6,7,8,9,10,
1,3.38022 1.82541 1.82446 1.81295 1.83153 1.80940 1.85020 1.80999 1.79993 1.81107
2,0.91355 0.91167 0.93838 0.94096 0.93593 0.93704 0.95226 0.91082 0.93068 0.93874
3,0.64456 0.66330 0.62441 0.62132 0.62742 0.63555 0.61909 0.62540 0.63980 0.62922
4,0.48682 0.49995 0.51891 0.48298 0.47496 0.48381 0.49601 0.48206 0.50677 0.53326
5,0.39672 0.41006 0.39104 0.41205 0.39458 0.42105 0.39601 0.39411 0.38956 0.40033
6,0.33222 0.33448 0.33499 0.33575 0.34945 0.33659 0.34862 0.33512 0.35170 0.33619
7,0.32607 0.29654 0.32442 0.29917 0.32389 0.29797 0.32665 0.29690 0.32564 0.29909
8,0.30581 0.26932 0.26974 0.26789 0.27308 0.28617 0.27037 0.28847 0.40424 0.26824
9,0.39107 0.38640 0.39724 0.39002 0.38988 0.38313 0.38677 0.38374 0.38374 0.38413
10,0.35164 0.34974 0.35076 0.35292 0.35142 0.35686 0.35319 0.37643 0.36342 0.35146
11,0.32571 0.32405 0.32218 0.32327 0.32282 0.32607 0.33200 0.32322 0.32293 0.32747
12,0.32218 0.30054 0.30651 0.32426 0.31174 0.53680 0.62598 1.01910 0.35777 0.39195
13,0.43144 0.42919 0.31038 0.32344 0.34038 0.30579 0.30352 0.29979 0.34520 0.30451
14,0.30929 0.27734 0.30252 0.31926 0.27653 0.28348 0.31738 0.27623 0.27499 0.28656
15,0.37129 0.27198 0.26231 0.34823 2.11936 0.25394 0.28356 0.28410 0.26488 0.25335
16,0.29742 0.24981 0.24086 0.24609 0.24041 0.24052 0.33758 0.29024 0.24441 0.29780
